,/amdcpu/0/load/1,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/temperature/0,/amdcpu/1/load/1,/amdcpu/1/load/2,/amdcpu/1/load/3,/amdcpu/1/load/4,/amdcpu/1/load/0,/amdcpu/1/clock/1,/amdcpu/1/clock/2,/amdcpu/1/clock/3,/amdcpu/1/clock/4,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/fan/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/control/0,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/3,/hdd/0/temperature/0,/hdd/2/temperature/0,/hdd/2/load/0,/hdd/3/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","Core #1 - #4","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","Memory","Used Memory","Available Memory","GPU Core","GPU","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Fan","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Temperature","Used Space","Used Space"
05/29/2019 18:37:36,15.625,12.5,12.5,7.8125,12.109375,3200.05127,3200.05127,3200.05127,3200.05127,34.625,7.8125,17.1875,14.0625,12.5,12.890625,3200.05,3200.05,3200.05,3200.05,50.53982,4.01983261,3.93396,40,0,139,405.000031,278,9,9,0,0,4096,665.152344,3430.84766,16.23907,37,32,56.2448769,59.80607
05/29/2019 18:37:37,15.625,1.5625,3.125,0,5.078125,3200.05,3200.05,3200.05,3200.05,34.625,0,4.6875,1.5625,9.375,3.90625,3200.05029,3200.05029,3200.05029,3200.05029,50.5344963,4.019409,3.93438339,40,0,139,405.000031,278,0,4,0,0,4096,665.152344,3430.84766,16.23907,37,32,56.2448769,59.80607
05/29/2019 18:37:38,10.9375,0,3.125,0,3.515625,3200.05078,3200.05078,3200.05078,3200.05078,34.5,0,0,0,6.25,1.5625,3200.051,3200.051,3200.051,3200.051,50.5095558,4.01742554,3.936367,40,0,139,405.000031,278,2,6,0,0,4096,663.339844,3432.66016,16.19482,37,32,56.2448769,59.80607
05/29/2019 18:37:39,20.3125,1.5625,6.25,0,7.03125,3200.05127,3200.05127,3200.05127,3200.05127,34.5,3.125,1.5625,1.5625,7.8125,3.515625,3200.051,3200.051,3200.051,3200.051,50.4164658,4.010021,3.94377136,40,0,139,405.000031,278,0,4,0,0,4096,663.339844,3432.66016,16.19482,37,32,56.2448769,59.80607
05/29/2019 18:37:40,12.5,0,4.6875,0,4.296875,3200.051,3200.051,3200.051,3200.051,34.5,4.6875,4.6875,6.25,9.375,6.25,3200.0498,3200.0498,3200.0498,3200.0498,50.3862038,4.007614,3.94617844,40,0,139,405.000031,278,0,5,0,0,4096,663.339844,3432.66016,16.19482,37,32,56.2448769,59.80607
05/29/2019 18:37:41,15.625,1.58730149,1.5625,1.58730149,5.090523,3200.05151,3200.05151,3200.05151,3200.05151,34.5,1.5625,3.125,0,20.3125,6.25,3200.053,3200.053,3200.053,3200.053,50.2878876,3.999794,3.95399857,40,0,139,405.000031,278,0,4,0,0,4096,663.339844,3432.66016,16.19482,37,32,56.2448769,59.80607
05/29/2019 18:37:42,12.5,6.153846,10.9375,0,7.39783669,3200.048,3200.048,3200.048,3200.048,34.5,3.125,6.25,3.125,6.25,4.6875,3200.0498,3200.0498,3200.0498,3200.0498,50.2426567,3.99619675,3.95759583,40,0,139,405.000031,278,0,5,0,0,4096,663.339844,3432.66016,16.19482,37,32,56.2448769,59.80607
05/29/2019 18:37:43,14.0625,0,7.8125,3.125,6.25,3200.05225,3200.05225,3200.05225,3200.05225,34.5,4.6875,1.5625,0,14.0625,5.078125,3200.05176,3200.05176,3200.05176,3200.05176,50.2396355,3.99595642,3.95783615,40,0,139,405.000031,278,16,13,0,0,4096,642.464844,3453.53516,15.6851768,37,32,56.2448769,59.80607
05/29/2019 18:37:44,10.9375,1.5625,6.25,0,4.6875,3200.05151,3200.05151,3200.05151,3200.05151,34.5,1.5625,4.6875,3.125,4.6875,3.515625,3200.05054,3200.05054,3200.05054,3200.05054,50.2260628,3.99487686,3.95891571,40,0,139,405.000031,278,0,4,0,0,4096,647.277344,3448.72266,15.80267,37,32,56.2448769,59.80607
05/29/2019 18:37:45,7.8125,9.230768,12.5,1.53846145,7.770431,3200.05054,3200.05054,3200.05054,3200.05054,34.5,7.69230747,4.6875,6.25,10.76923,7.349759,3200.05,3200.05,3200.05,3200.05,50.2239037,3.9947052,3.95908737,40,0,139,405.000031,278,0,5,0,0,4096,647.277344,3448.72266,15.80267,37,32,56.2448769,59.80607
05/29/2019 18:37:46,10.9375,0,9.375,0,5.078125,3200.05054,3200.05054,3200.05054,3200.05054,34.5,1.58730149,4.6875,1.5625,7.936507,3.94344926,3200.05029,3200.05029,3200.05029,3200.05029,50.2346954,3.99556351,3.958229,40,0,139,405.000031,278,5,7,0,0,4096,656.964844,3439.03516,16.03918,37,32,56.2448769,59.80607
